Sunflower,0.000248,Grape,0.32998,Wood,0.00990784
Potato,0.000501,Rice,0.3569,Stone,0.0192225
Pumpkin,0.00109618,Olive,0.499,Iron,0.05994444
Carrot,0.00198,Tomato,0.0046,Gold,0.24
Cabbage,0.0018,Lemon,0.009996,Egg,0.022296
Beetroot,0.00723,Barley,0.02364912,Honey,0.056782
Cauliflower,0.012168,Rhubarb,0.0006,Crimstone,0.5899
Parsnip,0.01393267,Zucchini,0.00044839,Leather,0.11896
Radish,0.010099,Yam,0.00254896,Wool,0.0638
Wheat,0.018008,Broccoli,0.0027,Merino Wool,0.00970786
Kale,0.01919429,Pepper,0.005094,Feather,0.00626
Apple,0.022448,Onion,0.0098,Milk,0.09769
Blueberry,0.01768667,Turnip,0.008,Obsidian,24
Orange,0.0168,Artichoke,0.01192,Goblin Emblem,0.057
Eggplant,0.00938,Duskberry,0.92285556,Bumpkin Emblem,0.055
Corn,0.017095,Lunara,0.45988,Sunflorian Emblem,0.051989
Banana,0.02295,Celestine,0.1893,Nightshade Emblem,0.055
Soybean,0.00222113,updatedAt,0.655,updated_text,0.66
Grape,0.32998,,,,
Rice,0.3569,,,,
Olive,0.499,updatedAt,0.655,updated_text,0.66
Tomato,0.0046,,,,
Lemon,0.009996,,,,
Barley,0.02364912,,,,
Rhubarb,0.0006,,,,
Zucchini,0.00044839,,,,
Yam,0.00254896,,,,
Broccoli,0.0027,,,,
Pepper,0.005094,,,,
Onion,0.0098,,,,
Turnip,0.008,,,,
Artichoke,0.01192,,,,
Duskberry,0.92285556,,,,
Lunara,0.45988,,,,
Celestine,0.1893,,,,
Wood,0.00990784,,,,
Stone,0.0192225,,,,
Iron,0.05994444,,,,
Gold,0.24,,,,
Egg,0.022296,,,,
Honey,0.056782,,,,
Crimstone,0.5899,,,,
Leather,0.11896,,,,
Wool,0.0638,,,,
Merino Wool,0.00970786,,,,
Feather,0.00626,,,,
Milk,0.09769,,,,
Obsidian,24,,,,
Goblin Emblem,0.057,,,,
Bumpkin Emblem,0.055,,,,
Sunflorian Emblem,0.051989,,,,
Nightshade Emblem,0.055,,,,
Ruffroot,0.655,,,,
Chewed Bone,0.66,,,,
