,,,,,,,,,,,,,
,,,Pay With Card / Cash,,,,,,Pay with Flower,,,,
,Gem Amount,,Cost (card),Cost per gem,,Restock Cost,Flower cost,,Cost (flower),Cost per gem,,Restock Cost,Flower Cost
,100,,1.29,0.0129,,0.129,1.210131332,,0.9,0.009,,0.09,0.8442776735
,650,,6.49,0.009984615385,,0.09984615385,0.9366430942,,4.54,0.006984615385,,0.06984615385,0.6552172031
,1350,,12.99,0.009622222222,,0.09622222222,0.902647488,,9.09,0.006733333333,,0.06733333333,0.631644778
,2800,,25.99,0.009282142857,,0.09282142857,0.8707451085,,18.19,0.006496428571,,0.06496428571,0.6094210667
,7400,,64.99,0.008782432432,,0.08782432432,0.823867958,,45.49,0.006147297297,,0.06147297297,0.5766695401
,15500,,129.99,0.008386451613,,0.08386451613,0.7867215397,,90.99,0.005870322581,,0.05870322581,0.5506869213
,200000,,1299.99,0.00649995,,0.0649995,0.6097514071,,909.99,0.00454995,,0.0454995,0.4268245779
,,,,,,,,,,,,,
,,,,,,,pick from here ^^,,,,,,pick from here ^^
,,,,,,,,,,,,,
,,,1 flower is,0.1066,USD ($),,<-- please change this amount to the current flower/usd,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,0.5766695401,"<-- Please pick your ""flower cost"" from the 2 ""pick from here"" spaces above and put it here",,,,,,,,,
