Sunflower,0.00024695
Potato,0.000425
Pumpkin,0.00104978
Carrot,0.0019694
Cabbage,0.0019659
Beetroot,0.005769
Cauliflower,0.00999833
Parsnip,0.01408444
Radish,0.012
Wheat,0.0155323
Kale,0.01969574
Apple,0.022312
Blueberry,0.01298598
Orange,0.0148
Eggplant,0.009996
Corn,0.01639344
Banana,0.022755
Soybean,0.00225225
Grape,0.3114
Rice,0.3566
Olive,0.488
Tomato,0.00498361
Lemon,0.010784
Barley,0.0236
Rhubarb,0.0004915
Zucchini,0.00059445
Yam,0.0025544
Broccoli,0.002854
Pepper,0.0062
Onion,0.009994
Turnip,0.00806
Artichoke,0.0124
Duskberry,0.929
Lunara,0.46855
Celestine,0.18813333
Wood,0.009232
Stone,0.01926
Iron,0.059374
Gold,0.2375
Egg,0.02313
Honey,0.06856
Crimstone,0.579
Leather,0.1205
Wool,0.062688
Merino Wool,0.01111
Feather,0.00576558
Milk,0.09961538
Obsidian,19.94
Goblin Emblem,0.05892
Bumpkin Emblem,0.0616
Sunflorian Emblem,0.0499965
Nightshade Emblem,0.0545
Ruffroot,0.757
Chewed Bone,0.8288
