Sunflower,0.00029998
Potato,0.0004
Pumpkin,0.00087149
Carrot,0.002299
Cabbage,0.00223791
Beetroot,0.0052512
Cauliflower,0.0085096
Parsnip,0.0132
Radish,0.009989
Wheat,0.014
Kale,0.01865405
Apple,0.01866129
Blueberry,0.01459016
Orange,0.01636667
Eggplant,0.008791
Corn,0.0197875
Banana,0.018876
Soybean,0.0023997
Grape,0.28
Rice,0.34658462
Olive,0.38
Tomato,0.0053275
Lemon,0.009988
Barley,0.02667398
Rhubarb,0.0005002
Zucchini,0.00047619
Yam,0.002567
Broccoli,0.0026902
Pepper,0.005
Onion,0.01118378
Turnip,0.0089
Artichoke,0.01023
Duskberry,0.7
Lunara,0.3656
Celestine,0.1498
Wood,0.008978
Stone,0.01596214
Iron,0.0642
Gold,0.2739
Egg,0.0213
Honey,0.06999091
Crimstone,0.546
Leather,0.1215
Wool,0.06264
Merino Wool,0.02629333
Feather,0.007798
Milk,0.1283
Obsidian,18.39
Goblin Emblem,0.0542
Bumpkin Emblem,0.075
Sunflorian Emblem,0.04675
Nightshade Emblem,0.059994
Ruffroot,0.7991
Chewed Bone,0.79746667
