Sunflower,0.0002954
Potato,0.00050427
Pumpkin,0.0016005
Carrot,0.00202792
Cabbage,0.0018995
Beetroot,0.00569733
Cauliflower,0.00656
Parsnip,0.01326957
Radish,0.01137895
Wheat,0.022763
Kale,0.025598
Apple,0.02378
Blueberry,0.02268333
Orange,0.0355
Eggplant,0.0095947
Corn,0.0557922
Banana,0.024371
Soybean,0.002499
Grape,0.42977
Rice,0.5565
Olive,0.599
Tomato,0.00425806
Lemon,0.0123
Barley,0.040558
Rhubarb,0.0006345
Zucchini,0.0006992
Yam,0.00377
Broccoli,0.00259
Pepper,0.00475283
Onion,0.025
Turnip,0.01025462
Artichoke,0.01284684
Duskberry,0.993
Lunara,0.49745
Celestine,0.19188
Wood,0.01244
Stone,0.0219525
Iron,0.07243636
Gold,0.35855
Egg,0.02446444
Honey,0.12898
Crimstone,0.729995
Leather,0.25498
Wool,0.080499
Merino Wool,0.06699
Feather,0.010606
Milk,0.166992
Obsidian,37.8
Goblin Emblem,0.076894
Bumpkin Emblem,0.1031
Sunflorian Emblem,0.0621
Nightshade Emblem,0.059898
updatedAt,1758132906233
updated_text,12 minutes ago
