Sunflower,0.00029998
Potato,0.00040113
Pumpkin,0.000871
Carrot,0.002299
Cabbage,0.00217
Beetroot,0.0052515
Cauliflower,0.00850942
Parsnip,0.0132
Radish,0.00999
Wheat,0.01528291
Kale,0.018
Apple,0.01867647
Blueberry,0.015328
Orange,0.016371
Eggplant,0.00879
Corn,0.0196
Banana,0.0188765
Soybean,0.002296
Grape,0.28278
Rice,0.3466
Olive,0.38
Tomato,0.0053285
Lemon,0.01
Barley,0.026674
Rhubarb,0.00050035
Zucchini,0.0004824
Yam,0.002565
Broccoli,0.00269028
Pepper,0.005066
Onion,0.01115976
Turnip,0.0089
Artichoke,0.01024
Duskberry,0.7
Lunara,0.365
Celestine,0.14985
Wood,0.00898
Stone,0.01647
Iron,0.064668
Gold,0.274
Egg,0.0213
Honey,0.06991579
Crimstone,0.5462
Leather,0.12189
Wool,0.062645
Merino Wool,0.026445
Feather,0.007798
Milk,0.1284871
Obsidian,18.38
Goblin Emblem,0.0545
Bumpkin Emblem,0.075
Sunflorian Emblem,0.04675
Nightshade Emblem,0.059994
Ruffroot,0.79924444
Chewed Bone,0.7974
